Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
7592,23,May-2026,Chhattisgarh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Improved,Will Improve,Worsened,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,9-<10%,,No
7593,23,May-2026,Chhattisgarh,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Decrease,Price Increased Similar To Last Year,,9-<10%,,<1%,,No
7594,23,May-2026,Chhattisgarh,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,3,Homemaker,Worsened,Remain The Same,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,Yes
451,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,2,Salaried Employee,Remained The Same,Remain The Same,Improved,Will Improve,Increased,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,3-<4%,,No
452,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,No
456,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,No
466,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
478,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,No
508,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,4-<5%,,No
524,23,May-2026,Goa,40 to 59 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,12th Std,5 and more,2,Self Employed,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Decreased,Will Decrease,,,<1%,,<1%,,No
525,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,2,Self Employed,Improved,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
6874,23,May-2026,Goa,40 to 59 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased Less Than Last Year,,10-<11%,,<1%,,No
6875,23,May-2026,Goa,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Worsened,Remain The Same,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
6876,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,3 or 4,1,Self Employed,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Less Than Current Rate,4-<5%,,2-<3%,,No
6877,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Decrease,Price Increased Less Than Last Year,,4-<5%,,<1%,,No
6878,23,May-2026,Goa,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,3 or 4,1,Self Employed,Remained The Same,Will Worsen,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Decreased,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,5-<6%,,10-<11%,,No
6879,23,May-2026,Goa,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,2,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,5-<6%,,2-<3%,,No
6880,23,May-2026,Goa,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Will Decrease,Remained The Same,Will Decrease,Increased,Remain The Same,Remained The Same,Will Decrease,Increased,Remain The Same,Price Increased More Than Last Year,,5-<6%,,<1%,,No
6881,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,1,Salaried Employee,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
6882,23,May-2026,Goa,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Will Improve,Decreased,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,11-<12%,,No
6883,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Salaried Employee,Worsened,Will Worsen,Worsened,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,5-<6%,,No
6884,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Remained The Same,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,6-<7%,,No
6885,23,May-2026,Goa,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,12th Std,3 or 4,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Remain The Same,Decreased,Remain The Same,Decreased,Remain The Same,Decreased,Remain The Same,Increased,Remain The Same,Price Increased Similar To Last Year,,5-<6%,,<1%,,No
6886,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased Less Than Last Year,,4-<5%,,<1%,,No
6887,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,1 or 2,1,Daily Worker,Worsened,Will Improve,Remained The Same,Will Improve,Decreased,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
6888,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,Daily Worker,Worsened,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,,Price Increase Less Than Current Rate,<1%,,<1%,,No
6999,23,May-2026,Goa,40 to 59 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,5 and more,2,Homemaker,Remained The Same,Remain The Same,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,No
7141,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Worsened,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,7-<8%,,7-<8%,,No
7142,23,May-2026,Goa,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,8-<9%,,10-<11%,,Yes
7143,23,May-2026,Goa,21 to 29 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,3 or 4,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,1-<2%,,1-<2%,,Yes
7144,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,8-<9%,,8-<9%,,No
7145,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,11-<12%,,No
7205,23,May-2026,Goa,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,1,Homemaker,Remained The Same,Remain The Same,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,5-<6%,,<1%,,Yes
7206,23,May-2026,Goa,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,No
7328,23,May-2026,Goa,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,10th Std - Below 12th Std,3 or 4,1,Self Employed,Improved,Will Improve,Worsened,Will Worsen,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,,,<1%,,<1%,,No
7329,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,8-<9%,,4-<5%,,No
7330,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Remain The Same,Price Increased Less Than Last Year,,5-<6%,,<1%,,No
7374,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,5-<6%,,<1%,,No
7375,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,2,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
7432,23,May-2026,Goa,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,5 and more,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased Less Than Last Year,,4-<5%,,<1%,,No
7433,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
7575,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Less Than Current Rate,5-<6%,,2-<3%,,No
7576,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,Salaried Employee,Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
7577,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased Less Than Last Year,,5-<6%,,<1%,,No
7578,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,2,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Increased,Will Decrease,Increased,Will Decrease,Increased,Will Decrease,Increased,Will Decrease,Remained The Same,Will Decrease,,,<1%,,<1%,,No
7579,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,3-<4%,,No
7773,23,May-2026,Goa,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,3-<4%,,3-<4%,,Yes
7774,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,8-<9%,,11-<12%,,No
7775,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,Self Employed,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
7776,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,11-<12%,,No
7777,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Worsen,Worsened,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
7838,23,May-2026,Goa,40 to 59 years,Male,Rs 1 lakh and above,Graduate,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,7-<8%,,7-<8%,,No
7839,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,3,Salaried Employee,Improved,Will Improve,Remained The Same,Will Improve,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
7840,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,2,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
7841,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,3,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,8-<9%,,No
7842,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Worsened,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
7843,23,May-2026,Goa,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,5 and more,2,Self Employed,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,Decreased,Will Decrease,Increased,Remain The Same,Price Increased Similar To Last Year,,5-<6%,,<1%,,No
7844,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Price Increased Similar To Last Year,,10-<11%,,<1%,,No
7845,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
7846,23,May-2026,Goa,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,5 and more,2,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,10-<11%,,10-<11%,,No
7854,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,8-<9%,,12-<13%,,No
7941,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,4,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
7942,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,Salaried Employee,Remained The Same,Remain The Same,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Decreased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
7943,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,3,Salaried Employee,Remained The Same,Remain The Same,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,8-<9%,,No
7944,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,3,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,No
7945,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Decreased,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
8303,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Worsened,Remain The Same,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
8304,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Remained The Same,Remain The Same,,,<1%,,<1%,,No
8305,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,2,Salaried Employee,Remained The Same,Will Worsen,Worsened,Remain The Same,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,11-<12%,,No
8306,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,Self Employed,Remained The Same,Will Worsen,Worsened,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
8307,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,12-<13%,,12-<13%,,No
